Ref,Manufacturer,MPN,LCSC_or_gap,Package_or_footprint,Function,Assembly_class,Status_or_note
U10,Bosch,BMI270,C2836813,LGA-14_3x2.5mm,6-axis IMU,PCBA_FACTORY,Full prototype variant
U11,Bosch,BMP390,C5124834,PocketLab_Custom:BMP390_LGA-10_2x2mm,Barometric sensor,PCBA_FACTORY,Full prototype variant
U12,NXP,"PCF8563T/5,518",C7440,SOIC-8,Low-power RTC,PCBA_FACTORY,Selected hand-reworkable package
U13,Vishay,TSOP75338WTR,PROCUREMENT_GAP,PocketLab_Custom:TSOP75338WTR_HeimdallW_SideView,38kHz IR receiver,PCBA_FACTORY,Exact optical orientation must be reviewed
U14,Texas Instruments,BQ29700DSER,PROCUREMENT_GAP,WSON-6_1.5x1.5mm,1-cell protection controller,PCBA_FACTORY,Selected; complements but does not replace protected pack
Q2/Q3,Texas Instruments,CSD16406Q3,PROCUREMENT_GAP,VSON-8_3.3x3.3mm_NexFET,Back-to-back battery protection FETs,PCBA_FACTORY,Common-drain orientation must be visually checked
U15,Texas Instruments,TPS2553DBVR,PROCUREMENT_GAP,SOT-23-6,500mA auxiliary output limiter,PCBA_FACTORY,Selected non-latching variant
U16,STMicroelectronics,USBLC6-4SC6Y,PROCUREMENT_GAP,SOT-23-6,USB and CC ESD array,PCBA_FACTORY,Place directly at J1
U17,Texas Instruments,TPS22919DCKR,PROCUREMENT_GAP,SC-70-6,GNSS load switch,PCBA_FACTORY,Selected
U18,Texas Instruments,TCA9534PWR,PROCUREMENT_GAP,TSSOP-16,Internal control expander,PCBA_FACTORY,Selected
U19,onsemi,SRV05-4MR6T1G,PROCUREMENT_GAP,SOT-23-6,microSD SPI ESD array,PCBA_FACTORY,Selected
U20,Texas Instruments,SN74AHCT1G126DBVR,C163712,SOT-23-5,3.3V-to-5V RGB data buffer,PCBA_FACTORY_OR_HAND,Active-high OE follows BOOST5_EN; output is high-impedance while 5V is off
C601/C603-C606/C609,Yageo,CC0805KRX7R9BB104,C49678,0805,100nF local IR/RGB decoupling,PCBA_FACTORY_OR_HAND,Hand-reworkable X7R source; C609 must sit directly at U20
C602,Samsung Electro-Mechanics,CL21A475KAQNNNE,C1779,0805,4.7uF IR receiver supply filter,PCBA_FACTORY_OR_HAND,Hand-reworkable X5R source
R604,Yageo,RC0805FR-07100RL,C105577,0805,IR receiver supply filter resistor,PCBA_FACTORY_OR_HAND,100R 1 percent
R605,Yageo,RC0805FR-0768RL,C137498,0805,RGB data source termination,PCBA_FACTORY_OR_HAND,68R 1 percent; place at U20 pin 4
D101,Littelfuse,SMF5.0A,PROCUREMENT_GAP,SOD-123F,USB VBUS TVS,PCBA_FACTORY,Unidirectional polarity is critical
D501,Texas Instruments,TPD1E0B04DPYR,PROCUREMENT_GAP,DPY0002A_0.6x1mm,Low-capacitance GNSS ESD,PCBA_FACTORY,Very small unavoidable RF part
F1,Littelfuse,1206L075/13.2,PROCUREMENT_GAP,1206,USB resettable fuse,PCBA_FACTORY,Exact voltage and hold-current grade
L6,Coilcraft,XFL4020-152MEC,PROCUREMENT_GAP,PocketLab_Custom:Coilcraft_XFL4020,TPS63070 inductor,PCBA_FACTORY,Footprint and height review required
L7,Cyntec,HBME042A-1R0MS-99,PROCUREMENT_GAP,PocketLab_Custom:Cyntec_HBME042A-1R0MS,TPS61023 inductor,PCBA_FACTORY,Footprint and height review required
Y301,TBD,27.12MHz_CL7pF,PROCUREMENT_GAP,Crystal_SMD_3225-4Pin,NFC crystal,PCBA_FACTORY,Exact load capacitance and ESR must be frozen
Y701,Abracon,ABS07-32.768KHZ-7-T,PROCUREMENT_GAP,Crystal_SMD_3215-2Pin,RTC crystal,PCBA_FACTORY,Selected CL=7pF
J1,HRO,TYPE-C-31-M-12,C165948,USB_C_Hybrid_THT,USB-C data and power,PCBA_FACTORY_OR_HAND,Through-hole shell adds mechanical strength
J2,Molex,104031-0811,PROCUREMENT_GAP,Connector_Card:microSD_HC_Molex_104031-0811,microSD socket,PCBA_FACTORY,Exact connector footprint selected
J3,Hirose,U.FL-R-SMT-1(10),PROCUREMENT_GAP,U.FL_Hirose_vertical,GNSS antenna connector,PCBA_FACTORY,Passive antenna default
J4,JST,S2B-PH-SM4-TB,PROCUREMENT_GAP,JST_PH_side_entry,Protected 1S LiPo connector,PCBA_FACTORY_OR_HAND,Back-side mounted and rotated 90deg left from prior front view; verify cable exit and polarity before connection
J5,Generic,30pin_6x5_P2.54mm,N/A,PocketLab_Custom:Dupont_Grid_6x5_P2.54mm,Dupont expansion and optional NTC on pins 28/30,MANUAL_THT,Ships unpopulated; accepts individual Dupont leads or breakaway strips but not one monolithic 2x15 housing; cut SJ1 before external NTC use
J8,EastRising,ER-OLED0.42-1W,DIRECT_BUY,PocketLab_Custom:EastRising_ER-OLED0.42-1W_SolderFPC,0.42in 72x40 white OLED,MANUAL_FINE_PITCH,Solder and inspect 16-way 0.65mm FPC before folding/bonding glass; verify pin 1 and contact side
J9,Generic,1x01_P2.54mm,N/A,PinHeader_1x01_P2.54mm_Vertical,GPIO38 Dupont point,MANUAL_THT,Ships unpopulated; 3.3V GPIO only
SW1/SW2,C&K,KMR221GLFS,C72443,SW_Push_1P1T_NO_CK_KMR2,Reset and boot service buttons,PCBA_FACTORY,Adjacent labeled 4.6x2.8mm service switches; user buttons remain larger
SW5,SHOUHAN,MSK12C02,C431540,SW_SPDT_Shouhan_MSK12C02,Low-current main power enable switch,PCBA_FACTORY_OR_HAND,Switches TPS63070 EN only; does not interrupt charger or full battery current
D1-D3,Vishay,TSAL6200,C55528,PocketLab_Custom:TSAL6200_LayFlat_Inboard,Three 940nm IR emitters,MANUAL_THT,Use one forming jig across each transverse 2.54mm lead pair; bend both pins 90 degrees on the same line and lay the body flat with its optical face 0.5mm inside the short edge
R601/R610/R611,Qualified_sources,39R_0.5W_1percent,PROCUREMENT_GAP,1210,Independent IR LED current limit resistors,PCBA_FACTORY_OR_HAND,One resistor per emitter; hand-solderable 1210 size is pulse-rated for the bounded IR burst duty; do not bridge or replace with one shared resistor
C607/C617/C608,Qualified_sources,2x22uF_10V_X5R_plus_100nF,PROCUREMENT_GAP,1206_plus_0805,Local 5V IR pulse buffer,PCBA_FACTORY_OR_HAND,Place directly at the three LED branches and Q1 hot loop; verify effective capacitance at 5V
C610-C616,Qualified_sources,1uF_4.7uF_2.2uF_100nF_X7R_X5R,PROCUREMENT_GAP,0805,OLED charge pump and local decoupling,PCBA_FACTORY_OR_HAND,Keep values and nets exactly as schematic; place beside folded FPC lands
LED1-LED4,Worldsemi,WS2812B-2020,C965555,LED_2020,Compact 5V addressable RGB LEDs,PCBA_FACTORY,2.0mm package is not intended for routine hand placement; pin-1 and JLC assembly-view review required
R/C_general,Qualified_sources,1percent_X7R_X5R,PROCUREMENT_GAP,0805,General passives,PCBA_FACTORY,Exact MPN and LCSC population remains release-gated
RF_passives,Qualified_sources,C0G_high_Q,PROCUREMENT_GAP,0603,NFC and RF matching,PCBA_FACTORY,C310-C312 remain DNP until measurement
